system:index,burned_area_ha,year,.geo
0,12159.352932628677,2000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,10266.884760300245,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,11094.634803204657,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,15158.095401887253,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,7464.586259761029,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,13099.646657052697,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,4194.687257843138,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,4521.0647625,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,8712.840184534312,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,8362.11725965686,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,4221.6607256127445,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2569.956022781863,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,3483.5018140625,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,93.09587709558824,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2149.500775,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1122.7673562254902,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,3409.139553125,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,578.2182337438726,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2817.438494234069,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2569.56989375,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,543.45064375,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,49.4015578125,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,1553.0925124387254,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,98.816828125,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,518.7770984375,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
